casting,date,duree,genre,original_title,score,synopsis,title
"Charles Chaplin,Virginia Cherrill,Florence Lee",1931,87,"Comedy,Drama,Romance,Back to top",,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",City Lights
"James Stewart,Grace Kelly,Wendell Corey",1954,112,"Mystery,Thriller,Back to top",,8.5,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Rear Window
"Philippe Noiret,Enzo Cannavale,Antonella Attili",1988,155,"Drama,Romance,Back to top",Original title: Nuovo Cinema Paradiso,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Cinema Paradiso
"Martin Sheen,Marlon Brando,Robert Duvall",1979,147,"Drama,Mystery,War,Back to top",,8.5,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Apocalypse Now
"Charles Chaplin,Paulette Goddard,Henry Bergman",1936,87,"Comedy,Drama,Romance,Back to top",,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Modern Times
"Henry Fonda,Charles Bronson,Claudia Cardinale",1968,165,"Western,Back to top",Original title: C'era una volta il West,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Once Upon a Time in the West
"Sigourney Weaver,Tom Skerritt,John Hurt",1979,117,"Horror,Sci-Fi,Back to top",,8.5,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Alien
"Tim Robbins,Morgan Freeman,Bob Gunton",1994,142,"Drama,Back to top",,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",The Shawshank Redemption
"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",1988,89,"Animation,Drama,War,Back to top",Original title: Hotaru no haka,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,Grave of the Fireflies
"Christian Bale,Hugh Jackman,Scarlett Johansson",2006,130,"Drama,Mystery,Sci-Fi,Back to top",,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",The Prestige
"François Cluzet,Omar Sy,Anne Le Ny",2011,112,"Biography,Comedy,Drama,Back to top",Original title: Intouchables,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",The Intouchables
"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",1962,133,"Action,Drama,Mystery,Back to top",Original title: Seppuku,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Harakiri
"Humphrey Bogart,Ingrid Bergman,Paul Henreid",1942,102,"Drama,Romance,War,Back to top",,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Casablanca
"Miles Teller,J.K. Simmons,Melissa Benoist",2014,106,"Drama,Music,Back to top",,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Whiplash
"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",1995,106,"Crime,Drama,Mystery,Back to top",,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",The Usual Suspects
"Leonardo DiCaprio,Matt Damon,Jack Nicholson",2006,151,"Crime,Drama,Thriller,Back to top",,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,The Departed
"Viola Davis,Emma Stone,Octavia Spencer",2011,146,"Drama,Back to top",,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",The Help
"Ben Kingsley,John Gielgud,Rohini Hattangadi",1982,191,"Biography,Drama,History,Back to top",,8.1,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Gandhi
